WHC -- Worker hiring country,WES -- Status,WSS -- Worker citizenship status,WNY -- Worker Nationality,WRP -- Does worker require permit,WPT -- Permit Type,WAWP -- Worker has an active work permit,WMLE -- Worker has multiple employers,WFN -- Worker first name,WLN -- Worker last name,WFNA -- Worker first name in alternate language,WLNA -- Worker last name in alternate language,WEL -- Worker email,WJT -- Worker job title,WJTA -- Worker job title in alternate language,WJD -- Worker job description,WJDA -- Worker job description in alternate language,WEID -- Worker employee internal ID,WMN -- Worker reporting manager name,WMR -- Worker reporting manager role,WME -- Worker reporting manager email,WCT -- Worker contract type,WCXT -- Worker contract term,WSD -- Worker contract start date,WED -- Worker contract end date,WET -- Worker employment type,WFST -- Worker full time employment start time,WFET -- Worker full time employment end time,WHRW -- Worker hours per week,WTN -- Worker termination notice period,WTNU -- Worker termination notice unit,WCW -- Do you allow AYP to contact worker,WPA -- Worker workplace address is,WIFA -- Worker religious festivity allowance,WAO -- Eligible for additional income,WAD -- Additional income description,WPO -- Eligible for paid expenses,WPD -- Paid expenses description,WOO -- Entitled to overtime,WOD -- Overtime description,WSDMO -- Worker monday schedule,WSDTU -- Worker tuesday schedule,WSDWE -- Worker wednesday schedule,WSDTH -- Worker thursday schedule,WSDFR -- Worker friday schedule,WSDSA -- Worker saturday schedule,WSDSU -- Worker sunday schedule,WIO -- Eligible for insurance,WIS -- Insurance selection,WPPD -- Probation period,WPPU -- Probation period unit,WPLD -- Paid time off (days),WSTD -- Sick time off (days) ,DCC -- Dialing code for contact number,WNUM -- Worker contact number,WDOB -- Worker date of birth,WGEN -- Worker gender,WMAR -- Worker marital status,WND -- Worker number of dependents,WICD -- Number of children (Country specific),WRG -- Worker religion,WRC -- Worker race,WID -- Worker national ID,WNI -- Worker national ID issue date,WNII -- Worker national ID place of issue,WNIIA -- Worker national id place of issue in alternate language,WPN -- Worker passport number,WPID -- Worker passport issued date,WPII -- Worker passport place of issue,WPIIA -- Worker passport place of issue in alternate language,WJKI -- Worker BPJSTK (Jamsostek) ID (Country specific),WJKKC -- Worker eligible for JKK contribution (Country specific),WJKMC -- Worker eligible for JKM contribution (Country specific),WJHTC -- Worker eligible for JHT contribution (Country specific),WJPC -- Worker eligible for JP contribution (Country specific),WBSI -- Worker BPJSKS (Healthcare) ID (Country specific),WBPJSKSC -- Worker eligible for BPJSKS contribution (Country specific),WAL -- Worker address line,WAC -- Worker address city,WAS -- Worker address state,WPC -- Worker address postal code,WALA -- Worker address line in alternate language,WACA -- Worker address city in alternate language,WASA -- Worker address state in alternate language,WPCA -- Worker address postal code in alternate language,WEN -- Worker emergency contact name,WER -- Worker emergency contact relationship,DCE -- Dialing code for emergency contact number,WEC -- Worker emergency contact number,WLP -- Worker latest permit ID,WPI -- Worker latest permit issued date,WPP -- Worker latest permit place of issue,WPPA -- Worker latest permit place of issue in alternate language,WCSR -- Worker payment currency,WSPH -- Worker salary per hour,WSPM -- Worker salary per month,WSPB -- Worker salary payable date of the month,WPYM -- Worker payment option,WSPP -- Worker payment schedule,WTD -- Worker termination date,WLPD -- Worker last payment date,WXS -- Worker tax status,WTXI -- Worker Tax ID,WXR -- Worker qualification for tax residency,WBB -- Worker bank beneficiary name,WBA -- Worker bank account number,WBN -- Worker bank name,WBC -- Worker bank code,WBS -- Worker bank SWIFT/BIC code,WBI -- Worker IBAN code,ECSD -- Employer contract sign date,WCSD -- Worker contract sign date
ID -- Indonesia,EMPLOYEE_REVIEW -- Employee review,CITIZEN -- Citizen,ID -- Indonesia,NO -- No,NA -- Not applicable,,NO -- No,Andrew,Villegas,أندرو,فيليجاس,andrew@amancompany.com,Software Developer,,"Software developers are the creative, brainstorming masterminds behind computer programs of all sorts. While some software developers may focus on a specific program or app, others create giant networks or underlying systems that help trigger and power other programs.",,AC0005,John Smith,Supervisor ,kekalymy@lyricspad.net ,FIXED -- Fixed,THREE_MONTHS_AND_MORE -- More than 3 months, 2023-04-22, 2025-04-21,FULL_TIME -- Full Time,10:00:00,18:00:00,40,2,MONTH -- Month,YES -- Yes,EMPLOYEE -- Employee Address,250000,YES -- Yes,Internet and electricity expenses are covered,NO -- No,,NO -- No,,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,OFF_DAY -- Off day,OFF_DAY -- Off day,YES -- Yes,6 -- Group Medical Insurance (Indonesia),60,DAY -- Day,15,30,ID -- +62 Indonesia,123435655, 2000-01-22,MALE -- Male,,,,,,32343555444, 2018-03-23,Jakarta,,IN2342344, 2020-04-11,Jakarta,,,,,,,,,"Jl Asia Afrika 8 Plaza Senayan 140 B-142 B, Dki Jakarta",Dki Jakarta,Jakarta,10270,,,,,,,,,34556456456, 2022-12-23,Jakarta,,IDR -- Indonesian Rupiah,93750,15000000,28,BANK_DEPOSIT -- Bank Deposit,MONTHLY -- Monthly, 2025-04-22, 2025-04-22,K/0 -- K/0,2.34E+13,YES -- Yes,,,,,,,,
ID -- Indonesia,EMPLOYEE_REVIEW_PASSED -- Employee review passed,PERMIT_HOLDER -- Permit holder,ID -- Indonesia,YES -- Yes,C_312 -- C-312,YES -- Yes,NO -- No,Jaden,Mcdaniel,,,jaden@amancompany.com,HR Assistant,,Assisting with day to day operations of the HR functions and duties. Providing clerical and administrative support to Human Resources executives. Compiling and updating employee records (hard and soft copies).,,AC0006,Emmy Mcguire,Budget Analyst ,emily@amancompany.com,INDEFINITE -- Indefinite,, 2023-03-30,,FULL_TIME -- Full Time,10:00:00,18:00:00,40,2,MONTH -- Month,YES -- Yes,EMPLOYEE -- Employee Address,250000,YES -- Yes,Internet and electricity expenses are covered,NO -- No,,NO -- No,,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,OFF_DAY -- Off day,OFF_DAY -- Off day,YES -- Yes,6 -- Group Medical Insurance (Indonesia),60,DAY -- Day,15,30,ID -- +62 Indonesia,234653455, 1999-06-23,MALE -- Male,,,,,,34665675554, 2018-05-14,Bali,,IN5234544, 2021-07-12,Bali,,,,,,,,,"Jl Jend A Yani 53, Jawa Tengah",Jawa Tengah,Yogyakarta,55122,,,,,,,,,34556453475,,,,IDR -- Indonesian Rupiah,87500,14000000,28,BANK_DEPOSIT -- Bank Deposit,MONTHLY -- Monthly,,,K/1 -- K/1,4.36E+11,NO -- No,,,,,,,,
ID -- Indonesia,ONBOARDED -- Onboarded,CITIZEN -- Citizen,ID -- Indonesia,NO -- No,NA -- Not applicable,,NO -- No,Zaid,Gray,زيد,رمادي,zaid@amancompany.com,Software Developer,,"Software developers are the creative, brainstorming masterminds behind computer programs of all sorts. While some software developers may focus on a specific program or app, others create giant networks or underlying systems that help trigger and power other programs.","مطورو البرمجيات هم العقول الخلاقة والعصف الذهني وراء برامج الكمبيوتر من جميع الأنواع. بينما قد يركز بعض مطوري البرامج على برنامج أو تطبيق معين ، يقوم البعض الآخر بإنشاء شبكات عملاقة أو أنظمة أساسية تساعد في تشغيل البرامج الأخرى وتشغيلها.",AC0007,John Smith,Supervisor ,kekalymy@lyricspad.net ,INDEFINITE -- Indefinite,, 2023-03-01,,FULL_TIME -- Full Time,10:00:00,18:00:00,40,2,MONTH -- Month,NO -- No,EMPLOYEE -- Employee Address,250000,YES -- Yes,Internet and electricity expenses are covered,NO -- No,,NO -- No,,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,FULL_DAY -- Full day,OFF_DAY -- Off day,OFF_DAY -- Off day,YES -- Yes,6 -- Group Medical Insurance (Indonesia),60,DAY -- Day,15,30,ID -- +62 Indonesia,234563545, 1998-03-03,MALE -- Male,,,,,,34578451113, 2019-06-12,Pasar Kliiwon,,IN43634565, 2022-05-07,Pasar Kliiwon,,,,,,,,,"Jl Raya Duren Tiga 38, Jakarta",Dki Jakarta, Jakarta,11180,,,,,,,,,34556456675,,,,IDR -- Indonesian Rupiah,106250,17000000,28,BANK_DEPOSIT -- Bank Deposit,MONTHLY -- Monthly,,,K/0 -- K/0,5.37E+11,YES -- Yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
